Car Name,Price
Suzuki Every VXR,"
                              PKR 2,965,200
                              Get On Road Price

                                  Last Updated: 03-03-2026
                                
"
Suzuki Alto VXR Upgraded,"
                              PKR 2,994,861
                              Get On Road Price

                                  Last Updated: 23-10-2025
                                
"
Suzuki Alto VXR AGS Upgraded,"
                              PKR 3,166,480
                              Get On Road Price
"
Suzuki Alto VXL AGS Upgraded,"
                              PKR 3,326,446
                              Get On Road Price
"
Suzuki Cultus VXR,"
                              PKR 4,089,490
                              Get On Road Price
"
Suzuki Cultus VXL,"
                              PKR 4,359,160
                              Get On Road Price
"
Suzuki Cultus Auto Gear Shift,"
                              PKR 4,591,460
                              Get On Road Price
"
Suzuki Swift GL Manual,"
                              PKR 4,460,160
                              Get On Road Price
"
Suzuki Swift GL CVT,"
                              PKR 4,605,600
                              Get On Road Price
"
Suzuki Swift GLX CVT,"
                              PKR 4,766,190
                              Get On Road Price
"
Suzuki Fronx GL M/T,"
                              PKR 5,999,999
                              Get On Road Price

                                  Last Updated: 07-05-2026
                                
"
Suzuki Fronx GL A/T,"
                              PKR 6,099,999
                              Get On Road Price

                                  Last Updated: 07-05-2026
                                
"
Suzuki Fronx GLX A/T Mono Tone,"
                              PKR 6,299,999
                              Get On Road Price

                                  Last Updated: 07-05-2026
                                
"
Suzuki Fronx GLX A/T,"
                              PKR 6,374,999
                              Get On Road Price

                                  Last Updated: 07-05-2026
                                
"
